Campaign,Extension Type,Sitelink Text,Sitelink URL,Callout Text,Header,Values,Phone Number,Use Call Reporting
Bangalore to Tirupati Packages,Sitelink,Book Now,https://www.bangaloretirupatipackage.com/book,,,,,
Bangalore to Tirupati Packages,Sitelink,Group Discounts,https://www.bangaloretirupatipackage.com/group-discounts,,,,,
Bangalore to Tirupati Packages,Sitelink,Testimonials,https://www.bangaloretirupatipackage.com/#testimonials,,,,,
Bangalore to Tirupati Packages,Sitelink,Contact Us,https://www.bangaloretirupatipackage.com/#contact,,,,,
Bangalore to Tirupati Packages,Callout,,,50% Faster Darshan,,,,
Bangalore to Tirupati Packages,Callout,,,Verified Operators,,,,
Bangalore to Tirupati Packages,Callout,,,24/7 Support,,,,
Bangalore to Tirupati Packages,Callout,,,All-Inclusive Package,,,,
Bangalore to Tirupati Packages,Callout,,,Expert TTD Guide,,,,
Bangalore to Tirupati Packages,Callout,,,Scam Protection,,,,
Bangalore to Tirupati Packages,Structured Snippet,,,,Service offerings,"AC Bus, Fresh-up, Meals, Expert Guide",,
Bangalore to Tirupati Packages,Structured Snippet,,,,Destinations,"Tirupati, Tirumala, Bangalore",,
Bangalore to Tirupati Packages,Call,,,,,,+918088121938,Yes
