Campaign,Ad Group,Keyword,Match Type,Max CPC,Final URL
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - One Day Package,[one day tirupati package from bangalore],Exact,20,https://www.bangaloretirupatipackage.com
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - One Day Package,""" one day tirupati package from bangalore"" ",Phrase,15,https://www.bangaloretirupatipackage.com
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - One Day Package,one day tirupati package from bangalore,Broad,10,https://www.bangaloretirupatipackage.com
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - One Day Package,[tirupati one day trip from bangalore],Exact,20,https://www.bangaloretirupatipackage.com
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - One Day Package,""" tirupati one day trip from bangalore"" ",Phrase,15,https://www.bangaloretirupatipackage.com
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - One Day Package,tirupati one day trip from bangalore,Broad,10,https://www.bangaloretirupatipackage.com
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - One Day Package,[bangalore to tirupati one day tour],Exact,20,https://www.bangaloretirupatipackage.com
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - One Day Package,""" bangalore to tirupati one day tour"" ",Phrase,15,https://www.bangaloretirupatipackage.com
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - One Day Package,bangalore to tirupati one day tour,Broad,10,https://www.bangaloretirupatipackage.com
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - SKAG - one_day_tirupati_package_from_bangalore,[one day tirupati package from bangalore],Exact,20,https://www.bangaloretirupatipackage.com
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - SKAG - one_day_tirupati_package_from_bangalore,""" one day tirupati package from bangalore"" ",Phrase,15,https://www.bangaloretirupatipackage.com
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - SKAG - one_day_tirupati_package_from_bangalore,one day tirupati package from bangalore,Broad,10,https://www.bangaloretirupatipackage.com
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - Bus Package,[bangalore to tirupati bus package],Exact,20,https://www.bangaloretirupatipackage.com
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - Bus Package,""" bangalore to tirupati bus package"" ",Phrase,15,https://www.bangaloretirupatipackage.com
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - Bus Package,bangalore to tirupati bus package,Broad,10,https://www.bangaloretirupatipackage.com
Bangalore to Tirupati Packages,Bangalore to Tirupati Packages - Bus Package,[tirupati bus travel from bangalore],Exact,20,https://www.bangaloretirupatipackage.com
